               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,             0.02876,            0.023206,            0.010246,             0.61391,             0.59939,             0.59779,             0.40428,            0.032054,            0.014305,             0.03236,           0.0071092,           0.0071092,           0.0071092
                  75,            0.028651,            0.024138,            0.010944,             0.61675,             0.60407,             0.61592,             0.41927,            0.031208,             0.01425,            0.031941,           0.0070696,           0.0070696,           0.0070696
                  76,            0.028674,             0.02414,           0.0099383,             0.67072,             0.65035,             0.66086,             0.45273,            0.030395,            0.014104,            0.027494,             0.00703,             0.00703,             0.00703
                  77,            0.028369,            0.024239,           0.0096511,             0.64195,             0.61835,             0.64612,             0.44201,            0.031024,            0.014517,            0.027286,           0.0069904,           0.0069904,           0.0069904
                  78,            0.028232,             0.02344,           0.0098514,               0.669,             0.64139,             0.66381,             0.46035,            0.030576,            0.013642,            0.025098,           0.0069508,           0.0069508,           0.0069508
                  79,            0.027921,            0.024238,            0.010513,              0.6454,             0.61236,             0.63803,             0.44118,            0.030233,             0.01392,            0.024454,           0.0069112,           0.0069112,           0.0069112
                  80,            0.028162,            0.024189,            0.009708,             0.66163,              0.6137,             0.64342,             0.44818,            0.029803,            0.014379,            0.024746,           0.0068716,           0.0068716,           0.0068716
                  81,            0.028327,            0.023924,           0.0096325,             0.65839,             0.64161,             0.66541,             0.46892,            0.029177,            0.014344,            0.023731,            0.006832,            0.006832,            0.006832
                  82,            0.028575,            0.023524,           0.0096368,             0.71673,             0.61473,             0.67078,             0.47069,            0.031211,            0.013955,            0.030494,           0.0067924,           0.0067924,           0.0067924
                  83,            0.028012,            0.023605,           0.0092257,             0.64492,             0.62769,             0.64665,              0.4525,            0.030556,            0.013845,            0.029063,           0.0067528,           0.0067528,           0.0067528
                  84,            0.027529,            0.023478,           0.0087857,             0.65411,             0.62853,             0.64809,             0.44713,            0.030627,            0.014527,            0.025045,           0.0067132,           0.0067132,           0.0067132
                  85,             0.02726,            0.023519,           0.0089614,             0.68506,             0.64043,             0.67751,             0.46834,            0.030495,            0.014122,            0.028893,           0.0066736,           0.0066736,           0.0066736
                  86,            0.028634,            0.022918,           0.0086597,             0.68785,             0.65554,             0.67271,             0.47107,            0.030775,            0.013877,            0.026388,            0.006634,            0.006634,            0.006634
                  87,            0.027681,            0.022917,           0.0086978,             0.66556,             0.64339,             0.66668,              0.4689,            0.029858,            0.014138,            0.026324,           0.0065944,           0.0065944,           0.0065944
                  88,            0.027203,            0.023379,           0.0083462,             0.65538,             0.63355,             0.65216,             0.46077,            0.029927,            0.013949,            0.026317,           0.0065548,           0.0065548,           0.0065548
                  89,            0.026698,            0.022663,           0.0093963,              0.6659,             0.63743,             0.66734,             0.46989,            0.030003,            0.014148,            0.027909,           0.0065152,           0.0065152,           0.0065152
                  90,            0.027577,            0.023212,           0.0096661,             0.67722,             0.62593,             0.66552,             0.46682,            0.030513,            0.014065,            0.022954,           0.0064756,           0.0064756,           0.0064756
                  91,            0.027087,            0.022878,            0.009011,             0.68045,             0.62089,             0.66645,             0.46612,            0.029141,            0.014293,            0.026188,            0.006436,            0.006436,            0.006436
                  92,            0.027451,            0.022592,           0.0086466,             0.71792,             0.63165,             0.66863,             0.46551,            0.030114,               0.014,            0.025008,           0.0063964,           0.0063964,           0.0063964
                  93,            0.026445,            0.022754,           0.0091536,              0.6492,             0.63992,             0.63883,             0.44257,            0.030017,            0.014478,            0.025553,           0.0063568,           0.0063568,           0.0063568
                  94,            0.026906,            0.022795,           0.0086993,             0.68979,             0.64355,             0.66184,             0.45731,            0.029721,            0.014358,              0.0281,           0.0063172,           0.0063172,           0.0063172
                  95,            0.027027,            0.022815,           0.0081822,             0.70275,              0.6191,             0.66693,             0.46823,            0.030143,            0.014038,            0.027206,           0.0062776,           0.0062776,           0.0062776
                  96,            0.026614,            0.022873,           0.0077046,             0.67618,             0.64979,             0.68163,             0.47583,            0.029488,            0.014172,            0.021865,            0.006238,            0.006238,            0.006238
                  97,            0.026997,            0.022319,           0.0076259,             0.65388,             0.64137,             0.66485,             0.46657,            0.030043,            0.014082,            0.024357,           0.0061984,           0.0061984,           0.0061984
                  98,            0.027037,            0.022931,           0.0086567,             0.65827,             0.64466,             0.66745,             0.46596,            0.030116,            0.014086,            0.027959,           0.0061588,           0.0061588,           0.0061588
                  99,            0.026935,             0.02233,           0.0086407,              0.6927,             0.61706,             0.66589,             0.47391,            0.028925,            0.014807,            0.026405,           0.0061192,           0.0061192,           0.0061192
                 100,            0.026204,            0.022501,           0.0074216,             0.66099,             0.63966,             0.66263,              0.4732,            0.029912,            0.014446,            0.026437,           0.0060796,           0.0060796,           0.0060796
                 101,            0.025774,            0.021899,           0.0077686,             0.70474,             0.62616,             0.68083,             0.47927,            0.029995,            0.014322,            0.027062,             0.00604,             0.00604,             0.00604
                 102,             0.02659,            0.022101,           0.0087992,             0.67488,             0.64946,             0.67607,             0.47764,            0.029296,            0.014019,            0.028439,           0.0060004,           0.0060004,           0.0060004
                 103,             0.02623,            0.022604,           0.0079172,             0.67257,             0.62566,              0.6507,             0.45952,            0.029838,            0.015028,            0.028048,           0.0059608,           0.0059608,           0.0059608
                 104,            0.026369,            0.022412,           0.0080845,             0.66942,             0.62172,             0.65221,             0.46082,             0.02981,            0.014256,            0.024529,           0.0059212,           0.0059212,           0.0059212
                 105,            0.026466,             0.02206,           0.0077993,             0.69038,             0.62714,              0.6521,             0.46272,            0.029394,            0.014308,            0.028691,           0.0058816,           0.0058816,           0.0058816
                 106,            0.026194,             0.02166,           0.0084412,             0.69388,             0.63451,             0.66386,             0.47207,            0.030562,            0.014754,            0.026369,            0.005842,            0.005842,            0.005842
                 107,            0.026473,            0.022368,           0.0080645,             0.66105,             0.63705,             0.66268,             0.46723,            0.030629,            0.014514,             0.02722,           0.0058024,           0.0058024,           0.0058024
                 108,            0.025803,            0.022292,           0.0073991,              0.6911,             0.63572,             0.67207,              0.4784,            0.029498,            0.014161,            0.028772,           0.0057628,           0.0057628,           0.0057628
                 109,            0.026251,            0.022199,           0.0082393,             0.69289,             0.64949,             0.68359,             0.49158,            0.029855,             0.01422,            0.029947,           0.0057232,           0.0057232,           0.0057232
                 110,            0.025959,            0.021432,           0.0077198,             0.67841,             0.65692,             0.68252,             0.48599,              0.0297,            0.013991,            0.029208,           0.0056836,           0.0056836,           0.0056836
                 111,            0.025809,            0.021522,           0.0074967,             0.66196,             0.65634,             0.66921,             0.47488,            0.029005,            0.014556,            0.029022,            0.005644,            0.005644,            0.005644
